CreatedScenario;CompletedScenario;FailedScenario;
0;0;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;16;0;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
0;64;48;
